Title,Authour,Description,Paperback,Paperback Seller,Hardcover,Hardcover Seller,Kindle,Kindle Seller
PATH LIT BY LIGHTNING, David Maraniss,"The life story of the Olympic athlete, All-American football player and Major League Baseball player Jim Thorpe.",,,44.0,Amazon,33.99,Amazon
FINDING ME, Viola Davis,The multiple award-winning actress describes the difficulties she encountered before claiming her sense of self and achieving professional success.,38.12,Amazon,31.41,Amazon,18.99,Amazon
BRAIDING SWEETGRASS, Robin Wall Kimmerer,A botanist and member of the Citizen Potawatomi Nation espouses having an understanding and appreciation of plants and animals.,23.65,Amazon,,,,
BORN A CRIME, Trevor Noah,A memoir about growing up biracial in apartheid South Africa by the host of “The Daily Show.”,22.0,Amazon,22.73,Amazon,13.99,Amazon
AN IMMENSE WORLD, Ed Yong,The Pulitzer Prize–winning science writer explains the sensory perceptions and ways of communication used by a variety of animals.,30.32,Amazon,37.62,Amazon,16.99,Amazon
ALL ABOUT LOVE, bell hooks,The late feminist icon explores the causes of a polarized society and the meaning of love.,14.38,Amazon,33.01,Amazon,9.99,Amazon
LIFE ON THE MISSISSIPPI, Rinker Buck,The author of “The Oregon Trail” recounts his adventures on a wooden flatboat and challenges the myths of American expansion.,,,40.79,Amazon,13.99,Amazon
GREENLIGHTS, Matthew McConaughey,The Academy Award-winning actor shares snippets from the diaries he kept over 35 years.,27.0,Amazon,25.0,Amazon,16.99,Amazon
THINK AGAIN, Adam Grant,An examination of the cognitive skills of rethinking and unlearning that could be used to adapt to a rapidly changing world.,,,28.1,Amazon,,
WHAT HAPPENED TO YOU?, Bruce D. Perry and Oprah Winfrey,An approach to dealing with trauma that shifts an essential question used to investigate it.,26.77,Amazon,22.28,Amazon,15.99,Amazon
WHAT WE OWE THE FUTURE, William MacAskill,A philosopher shares his perspective on what we should do now to ensure that civilization would rebound if it collapsed.,,,38.99,Amazon,22.99,Amazon
OPERATION PINEAPPLE EXPRESS, Scott Mann,A retired Green Beret gives an account of a rescue mission during the time of America's withdrawal from Afghanistan.,,,38.99,Amazon,20.99,Amazon
FROM STRENGTH TO STRENGTH, Arthur C. Brooks,A columnist for The Atlantic espouses ways to shift priorities and habits to overcome waning abilities in later life.,,,24.4,Amazon,,
VACUUMING IN THE NUDE, Peggy Rowe,"Stories of vacation mishaps, writers’ conferences and a cancer support group.",,,34.65,Amazon,14.99,Amazon
JUST MERCY, Bryan Stevenson,A civil rights lawyer and MacArthur grant recipient’s memoir of his decades of work to free innocent people condemned to death.,22.77,Amazon,,,,
TALKING TO STRANGERS, Malcolm Gladwell,Famous examples of miscommunication serve as the backdrop to explain potential conflicts and misunderstandings.,14.05,Amazon,,,,
THIS IS YOUR MIND ON PLANTS, Michael Pollan,"A look at arbitrary beliefs surrounding opium, caffeine and mescaline, which are derived from plants.",23.76,Amazon,,,,
"THINKING, FAST AND SLOW", Daniel Kahneman,When we can and cannot trust our intuitions in making business and personal decisions.,34.33,Amazon,,,,
OUTLIERS, Malcolm Gladwell,"Unexpected factors that explain why some people succeed, such as upbringing, timing and 10,000 hours of deliberate practice.",23.75,Amazon,,,,
THE GLASS CASTLE, Jeannette Walls,The author recalls how she and her siblings were constantly moved from one bleak place to another.,21.62,Amazon,,,,
THE DEVIL IN THE WHITE CITY, Erik Larson,A story of how an architect and a serial killer were linked by the Chicago World's Fair of 1893.,23.0,Amazon,,,,
THE BOMBER MAFIA, Malcolm Gladwell,A look at the key players and outcomes of precision bombing during World War II.,23.75,Amazon,,,,
FUZZ, Mary Roach,An exploration of disciplinary actions and preventative measures occurring at the intersection of human behavior and wildlife biology.,22.72,Amazon,,,,
GRIT, Angela Duckworth,The MacArthur Fellow argues that passion and perseverance are more important than innate talent in creating success.,26.82,Amazon,,,,
ATOMIC HABITS, James Clear,,,,21.66,Amazon,,
ATLAS OF THE HEART, Brené Brown,,,,24.14,Amazon,,
"THE BOY, THE MOLE, THE FOX AND THE HORSE", Charlie Mackesy,,,,16.98,Amazon,,
THE SUBTLE ART OF NOT GIVING A F*CK, Mark Manson,,14.6,Indigo,32.54,Amazon,,
THE FIVE LOVE LANGUAGES, Gary Chapman,,38.9,Amazon,,,,
MAKE YOUR BED, William H. McRaven,,,,19.12,Amazon,,
FEEDING LITTLES AND BEYOND," Ali Maffucci, Megan McNamee and Judy Delaware",,36.63,Amazon,,,,
THE GOD OF THE WAY, Kathie Lee Gifford and Rabbi Jason Sobel,,,,35.63,Amazon,,
WE NEVER DIE, Matt Fraser,,,,36.62,Amazon,,
HALF BAKED HARVEST EVERY DAY, Tieghan Gerard,,,,27.71,Amazon,,
